step,hours,official_recipients,first_departures,joint_agreement_households,joint_execution_households,active_private_plans,all_safe_households,official_recipient_share,first_departure_share,all_safe_household_share,joint_agreement_household_share,joint_execution_household_share
1,0.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
3,1.5,5,0,0,0,5,0,0.16129032258064516,0.0,0.0,0.0,0.0
4,2.0,5,0,0,0,5,0,0.16129032258064516,0.0,0.0,0.0,0.0
5,2.5,5,1,1,0,5,1,0.16129032258064516,0.03225806451612903,0.041666666666666664,0.14285714285714285,0.0
6,3.0,5,3,1,1,3,2,0.16129032258064516,0.0967741935483871,0.08333333333333333,0.14285714285714285,0.14285714285714285
7,3.5,17,11,1,1,7,9,0.5483870967741935,0.3548387096774194,0.375,0.14285714285714285,0.14285714285714285
8,4.0,17,11,2,1,8,9,0.5483870967741935,0.3548387096774194,0.375,0.2857142857142857,0.14285714285714285
9,4.5,17,11,2,1,8,9,0.5483870967741935,0.3548387096774194,0.375,0.2857142857142857,0.14285714285714285
10,5.0,17,12,2,1,7,9,0.5483870967741935,0.3870967741935484,0.375,0.2857142857142857,0.14285714285714285
11,5.5,17,12,2,1,7,9,0.5483870967741935,0.3870967741935484,0.375,0.2857142857142857,0.14285714285714285
12,6.0,17,12,2,1,7,9,0.5483870967741935,0.3870967741935484,0.375,0.2857142857142857,0.14285714285714285
13,6.5,17,13,2,1,7,10,0.5483870967741935,0.41935483870967744,0.4166666666666667,0.2857142857142857,0.14285714285714285
14,7.0,17,13,2,1,7,10,0.5483870967741935,0.41935483870967744,0.4166666666666667,0.2857142857142857,0.14285714285714285
15,7.5,17,13,2,1,7,10,0.5483870967741935,0.41935483870967744,0.4166666666666667,0.2857142857142857,0.14285714285714285
16,8.0,17,13,2,1,7,10,0.5483870967741935,0.41935483870967744,0.4166666666666667,0.2857142857142857,0.14285714285714285
17,8.5,17,13,2,1,7,10,0.5483870967741935,0.41935483870967744,0.4166666666666667,0.2857142857142857,0.14285714285714285
18,9.0,17,13,2,1,7,10,0.5483870967741935,0.41935483870967744,0.4166666666666667,0.2857142857142857,0.14285714285714285
19,9.5,17,13,2,1,8,10,0.5483870967741935,0.41935483870967744,0.4166666666666667,0.2857142857142857,0.14285714285714285
20,10.0,17,13,2,1,8,10,0.5483870967741935,0.41935483870967744,0.4166666666666667,0.2857142857142857,0.14285714285714285
21,10.5,17,14,2,1,8,11,0.5483870967741935,0.45161290322580644,0.4583333333333333,0.2857142857142857,0.14285714285714285
22,11.0,17,14,2,1,8,11,0.5483870967741935,0.45161290322580644,0.4583333333333333,0.2857142857142857,0.14285714285714285
23,11.5,17,14,2,1,8,11,0.5483870967741935,0.45161290322580644,0.4583333333333333,0.2857142857142857,0.14285714285714285
24,12.0,17,14,2,1,12,11,0.5483870967741935,0.45161290322580644,0.4583333333333333,0.2857142857142857,0.14285714285714285
25,12.5,17,14,3,1,16,11,0.5483870967741935,0.45161290322580644,0.4583333333333333,0.42857142857142855,0.14285714285714285
